User_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Purchase
1000426,M,24,4,A,1,1,889
1000427,M,36,12,A,2,0,531
1000429,M,25,0,C,1,0,792
1000430,F,20,10,C,1,1,713
1000431,M,19,10,B,3,0,990
1000432,M,50,16,C,1,1,532
1000433,M,53,6,C,3,1,686
1000434,F,46,3,C,1,0,875
1000435,M,30,7,A,4+,0,605
1000436,M,21,4,C,1,0,882
1000437,M,43,17,C,2,1,984
1000438,M,22,11,A,3,0,586
1000439,M,45,14,B,3,1,880
1000440,M,71,1,C,2,1,532
1000441,M,40,1,B,1,0,792
1000442,M,35,1,A,2,0,878
1000443,M,33,3,A,0,1,979
1000444,M,74,0,A,3,0,802
1000445,M,48,12,A,1,1,983
1000446,F,53,0,C,2,0,996
1000447,F,49,11,A,1,0,712
1000448,M,31,17,C,0,0,972
1000449,M,35,7,C,3,0,714
1000450,M,47,1,C,1,1,717
1000451,M,74,13,C,4+,1,881
1000452,M,54,17,A,3,1,714
1000453,M,18,4,B,1,0,828
1000454,M,31,20,C,2,1,779
1000455,F,37,2,A,0,0,519
1000456,M,43,0,A,0,0,888
1000457,M,20,4,B,2,0,599
1000458,M,54,16,C,1,1,593
1000459,F,20,4,A,3,0,877
1000460,M,50,18,C,2,0,695
1000461,M,53,7,B,0,0,697
1000462,M,21,16,C,1,1,532
1000463,M,28,7,A,4+,1,708
1000464,F,19,4,A,3,0,809
1000465,M,22,19,C,2,0,803
1000466,M,28,5,A,2,0,863
1000467,F,45,3,B,4+,1,794
1000468,F,15,10,B,1,0,870
1000469,M,36,6,B,0,1,982
1000470,F,15,10,C,2,0,712
1000471,M,43,7,A,3,0,582
1000473,F,20,4,A,1,0,810
1000474,M,33,17,B,1,0,589
1000476,M,44,0,B,0,0,699
1000477,M,40,14,A,1,0,546
1000478,M,52,16,A,2,0,888
1000479,M,31,12,C,0,0,695
1000480,F,25,4,C,1,0,811
1000481,M,49,7,C,2,0,714
1000482,M,30,14,A,2,1,776
1000483,M,21,12,A,4+,0,687
1000484,F,15,10,A,2,0,536
1000485,M,72,7,C,2,1,588
1000486,M,69,0,C,0,0,586
1000487,F,38,17,B,0,1,620
1000488,M,28,12,B,2,1,999
1000489,M,23,4,A,3,1,978
1000490,M,15,10,B,1,0,972
1000491,M,21,4,C,2,0,521
1000492,M,32,12,A,0,0,866
1000493,M,53,7,C,1,1,691
1000495,M,23,10,A,1,0,707
1000496,M,24,4,A,3,0,875
1000497,F,35,17,C,0,0,644
1000498,M,40,17,A,1,0,803
1000499,F,32,1,A,1,0,867
1000500,F,25,2,A,0,0,534
1000501,M,31,2,C,4+,1,764
1000502,M,39,6,B,1,0,871
1000503,M,37,11,C,0,1,878
1000504,M,30,2,C,2,0,715
1000505,M,42,17,C,2,1,718
1000506,M,35,16,C,1,0,718
1000507,F,33,0,A,4+,1,698
1000508,M,32,12,B,0,0,796
1000509,M,27,2,A,0,1,523
1000510,M,20,12,C,3,0,864
1000511,F,50,4,C,1,1,801
1000512,M,41,0,C,1,1,709
1000513,M,33,0,C,4+,0,595
1000514,M,33,2,A,1,1,858
1000515,M,27,1,A,0,1,593
1000516,F,60,14,C,2,0,803
1000517,F,28,14,A,1,0,988
1000518,F,40,12,C,4+,0,978
1000519,F,45,14,C,4+,1,812
1000520,F,42,20,A,2,0,869
1000521,M,70,7,A,2,0,756
1000522,M,30,12,C,1,0,881
1000523,M,52,7,A,1,1,703
1000524,M,24,0,A,0,0,594
1000525,M,44,6,C,2,0,981
1000526,M,49,17,C,1,1,516
1000527,F,35,2,B,2,1,789
1000529,M,36,12,C,1,0,975
1000530,M,28,2,A,1,1,971
1000531,F,24,14,B,0,0,776
1000532,M,35,7,C,2,0,797
1000533,M,30,12,A,1,0,798
1000534,M,28,15,B,3,1,969
1000535,M,39,6,B,3,1,974
1000536,M,26,20,C,1,0,543
1000538,M,58,16,C,2,1,796
1000539,M,29,2,C,4+,0,825
1000540,M,19,1,B,1,0,869
1000541,F,23,4,C,3,0,547
1000543,M,27,5,B,4+,1,877
1000544,M,44,12,B,2,0,778
1000545,M,41,17,C,2,0,699
1000546,F,34,0,B,0,0,987
1000547,M,43,12,B,3,0,1000
1000548,F,38,16,C,1,1,804
1000549,M,29,6,A,3,0,742
1000550,M,47,8,B,1,1,529
1000551,M,45,20,A,4+,1,887
1000552,M,54,18,C,3,1,604
1000553,M,28,2,B,1,0,707
1000554,M,29,12,C,0,1,781
1000555,M,20,4,B,4+,0,987
1000556,F,26,9,B,4+,0,588
1000557,M,60,1,A,3,0,792
1000559,F,29,7,C,1,0,989
1000560,M,47,15,C,1,1,810
1000561,F,22,14,C,3,1,776
1000562,M,41,20,C,2,0,
1000563,M,27,4,A,3,0,993
1000564,M,50,1,C,1,0,596
1000565,M,34,16,B,0,0,584
1000566,M,34,17,A,3,0,546
1000567,M,38,20,C,3,0,996
1000568,F,53,17,C,1,1,788
1000569,F,25,4,C,3,1,706
1000570,M,30,4,A,4+,0,797
1000571,M,53,5,C,3,1,691
1000572,M,19,4,A,0,0,617
1000573,F,42,2,B,0,0,808
1000574,M,32,19,C,4+,1,984
1000575,M,27,12,B,0,1,690
1000576,F,50,15,C,1,1,802
1000577,M,44,0,A,3,0,883
1000578,M,19,17,C,3,0,890
1000579,M,32,5,C,2,0,698
1000580,M,15,10,C,1,0,808
1000581,M,54,14,C,1,1,543
1000582,M,18,4,C,4+,0,876
1000583,F,31,0,A,4+,0,686
1000584,F,33,0,B,1,0,994
1000585,M,20,1,A,1,0,703
1000586,M,44,14,C,3,1,879
1000587,M,35,20,B,3,0,881
1000588,F,30,11,B,1,0,712
1000589,M,25,2,A,1,0,812
1000590,F,39,6,C,1,0,696
1000591,M,34,0,C,1,0,786
1000592,M,19,0,A,1,1,696
1000593,F,55,1,C,4+,0,703
1000594,F,61,13,B,3,0,985
1000595,M,35,7,A,1,0,544
1000596,F,32,1,C,2,1,985
1000597,M,45,12,C,3,1,864
1000598,M,43,7,C,1,1,912
1000599,M,51,6,A,3,1,988
1000600,M,45,17,C,0,1,885
1000601,F,19,20,B,3,1,524
1000602,F,55,6,C,2,0,738
1000603,F,34,6,C,1,1,687
1000604,M,50,17,C,2,1,716
1000605,F,23,4,C,0,0,804
1000606,F,15,10,C,2,0,698
1000607,M,27,0,C,2,1,977
1000608,M,22,4,C,3,1,689
1000609,M,33,7,B,1,0,776
1000610,M,30,4,B,1,0,516
1000611,M,37,0,C,1,0,516
1000612,M,55,7,C,1,0,781
1000613,M,42,20,C,1,1,616
1000615,M,52,17,C,3,0,709
1000616,M,27,7,B,2,0,985
1000617,F,28,7,C,1,0,857
1000618,M,26,0,B,3,0,517
1000619,F,24,1,B,0,0,710
1000620,M,19,0,A,3,0,529
1000622,M,28,0,B,1,1,791
1000623,M,28,17,C,3,1,699
1000624,M,35,1,B,3,0,875
1000625,F,44,12,C,2,1,613
1000626,M,20,4,B,4+,1,810
1000627,M,54,2,C,2,1,899
1000628,F,42,0,C,2,0,543
1000629,F,15,10,C,2,0,780
1000630,F,38,14,C,2,0,973
1000631,M,45,17,C,3,1,876
1000632,M,48,17,C,2,0,524
1000633,M,29,17,B,4+,0,614
1000634,F,15,10,C,4+,0,819
1000635,M,74,17,C,4+,1,688
1000636,M,20,20,C,4+,0,749
1000637,M,37,12,B,2,1,762
1000638,M,33,6,C,1,1,526
1000639,M,47,17,B,2,1,760
1000640,M,19,4,C,2,1,978
1000641,F,43,0,A,2,1,514
1000642,F,37,1,C,1,0,598
1000643,M,30,2,C,0,1,718
1000644,M,34,20,C,2,1,876
1000645,M,40,20,A,2,0,811
1000646,M,39,7,C,2,0,797
1000647,M,45,12,B,1,1,709
1000648,F,33,12,B,1,1,616
1000649,M,30,4,B,2,1,804
1000650,M,34,17,C,2,1,873
1000651,M,36,7,B,2,0,530
1000652,M,23,20,C,3,0,780
1000653,M,69,13,C,3,0,866
1000654,M,53,7,C,4+,1,593
1000655,F,27,2,B,2,0,617
1000656,F,48,16,C,3,1,688
1000657,F,52,13,C,1,0,692
1000658,F,26,0,B,1,0,524
1000659,F,35,0,C,4+,0,593
1000661,M,50,1,C,2,1,746
1000662,M,18,4,B,2,0,521
1000663,F,34,7,A,1,0,692
1000664,M,38,18,C,2,1,864
1000665,M,24,2,C,4+,1,613
1000666,F,18,0,C,2,0,982
1000667,M,32,18,C,2,1,603
1000668,F,29,3,C,2,0,616
1000669,M,32,17,B,2,0,986
1000670,M,26,12,B,3,1,593
1000671,M,23,4,C,0,0,974
1000672,M,44,7,C,4+,1,984
1000673,M,30,20,A,4+,0,997
1000674,M,28,17,C,4+,0,688
1000675,M,26,20,C,1,1,869
1000676,M,20,16,B,1,1,871
1000677,M,54,2,B,1,1,890
1000678,M,33,0,A,0,1,795
1000679,M,44,16,C,4+,1,707
1000680,M,28,12,C,1,0,708
1000681,M,38,7,C,3,1,809
1000682,M,30,4,C,1,0,710
1000683,M,35,4,A,3,1,518
1000685,M,26,4,A,1,1,802
1000686,M,24,4,A,1,1,701
1000687,F,34,7,C,4+,0,704
1000688,M,65,13,C,2,1,538
1000689,F,51,0,A,0,1,704
1000690,M,31,12,C,3,0,697
1000691,M,36,11,B,2,1,876
1000692,F,35,0,A,0,1,995
1000693,M,45,12,A,4+,1,870
1000694,M,25,4,A,4+,0,808
1000695,F,24,1,A,2,0,993
1000697,F,52,6,A,3,1,984
1000698,M,25,4,A,1,0,801
1000700,M,54,17,C,1,1,719
1000701,F,23,4,B,0,0,687
1000702,M,43,7,B,2,1,988
1000703,F,73,1,C,2,1,712
1000704,F,36,8,C,2,0,540
1000705,M,29,4,C,0,1,813
1000706,M,38,20,B,2,0,984
1000707,M,43,7,C,1,0,762
1000708,M,31,0,C,2,0,875
1000709,M,20,0,C,1,0,998
1000710,M,26,20,A,4+,0,602
1000711,M,30,18,A,4+,0,793
1000712,M,35,0,B,2,0,833
1000713,M,41,7,B,3,0,536
1000714,M,25,4,B,2,0,780
1000715,M,19,0,B,1,0,704
1000717,M,32,11,C,0,0,598
1000718,M,23,2,C,2,0,807
1000719,M,15,0,C,4+,0,523
1000720,M,20,0,B,0,0,969
1000721,F,40,9,B,1,0,984
1000722,M,28,12,B,4+,0,786
1000723,M,35,12,C,3,1,887
1000724,M,55,13,B,2,1,991
1000725,M,74,11,A,1,0,864
1000726,F,30,9,C,0,1,713
1000727,M,37,11,B,4+,1,686
1000728,M,28,6,C,4+,0,523
1000729,M,44,12,C,0,0,824
1000730,M,33,0,C,4+,1,688
1000731,M,46,3,A,0,1,975
1000732,M,33,7,B,4+,0,620
1000733,M,44,16,C,1,1,702
1000734,M,27,7,C,1,1,519
1000735,M,32,14,A,3,0,1000
1000736,M,18,12,C,0,1,712
1000737,M,15,19,A,2,0,953
1000738,M,23,17,C,1,0,784
1000739,M,44,12,C,3,0,523
1000740,M,30,14,C,1,0,738
1000741,M,30,5,C,1,1,602
1000742,M,24,0,C,1,0,807
1000743,F,15,2,A,2,0,547
1000744,M,35,17,B,2,0,859
1000745,M,15,10,C,2,0,540
1000746,F,25,19,B,3,0,826
1000747,M,24,4,C,4+,1,519
1000748,M,30,0,C,4+,0,882
1000749,M,40,18,B,0,0,792
1000750,F,44,9,B,4+,1,592
1000751,F,35,17,C,3,0,886
1000752,F,33,3,A,3,0,707
1000753,M,15,10,C,1,0,704
1000754,M,42,7,C,3,0,596
1000755,F,42,0,B,3,1,785
1000756,M,44,0,C,2,0,594
1000757,M,30,12,A,1,0,974
1000758,M,42,7,C,3,1,519
1000759,F,67,3,C,1,0,708
1000760,M,75,15,A,4+,1,740
1000761,M,25,7,C,3,0,876
1000762,M,15,10,C,2,0,708
1000763,M,24,10,C,3,0,618
1000764,M,25,20,C,2,0,861
1000765,M,35,17,B,1,0,648
1000766,F,30,7,C,3,1,876
1000767,M,26,12,C,1,0,987
1000768,M,35,12,C,2,1,597
1000769,M,50,17,C,4+,1,793
1000770,M,20,4,B,2,1,886
1000771,F,51,1,C,0,0,712
1000772,M,24,12,C,2,0,705
1000773,M,30,6,B,3,0,795
1000774,M,22,4,A,4+,0,522
1000775,M,15,17,C,1,0,858
1000776,F,33,3,B,1,0,872
1000777,M,22,19,B,1,0,548
1000778,M,23,17,C,4+,0,805
1000779,M,33,0,B,2,1,517
1000780,M,31,17,B,3,0,801
1000782,M,68,1,C,4+,0,997
1000783,M,30,4,A,2,0,768
1000784,M,20,0,C,1,0,780
1000785,M,23,19,C,4+,0,695
1000786,M,27,0,C,2,0,712
1000787,M,20,4,C,2,0,535
1000788,M,34,0,C,1,0,867
1000789,M,22,1,B,3,1,701
